Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
1,All I Want For Christmas Is You,Mariah Carey,1,1,9,2024-01-06
2,Last Christmas,Wham!,4,2,9,2024-01-06
3,Misty,Lesley Gore,NEW,3,1,2024-01-06
4,Everybody,Nicki Minaj Featuring Lil Uzi Vert,5,4,3,2024-01-06
5,My Love Mine All Mine,Mitski,6,1,15,2024-01-06
6,Surround Sound,JID Featuring 21 Savage & Baby Tate,2,1,7,2024-01-06
7,Let The Light In,Lana Del Rey Featuring Father John Misty,3,3,5,2024-01-06
8,When We Were Young,Adele,24,8,2,2024-01-06
9,FTCU,Nicki Minaj,7,7,3,2024-01-06
10,Lovin On Me,Jack Harlow,11,4,8,2024-01-06
11,Margaret,Lana Del Rey Featuring Bleachers,9,9,6,2024-01-06
12,Something That I Want,Grace Potter,32,12,2,2024-01-06
13,Never Lose Me,Flo Milli,13,11,4,2024-01-06
14,Cha Cha,Zeddy Will,49,14,2,2024-01-06
15,Rockin' Around The Christmas Tree,Brenda Lee,8,6,8,2024-01-06
16,La Diabla,Xavi,16,16,3,2024-01-06
17,Feliz Navidad,Jose Feliciano,17,17,2,2024-01-06
18,A New Home,Frozen Silence,30,18,2,2024-01-06
19,Mr. Take Ya B*tch,Lil Mabu & chriseanrock,14,1,11,2024-01-06
20,i miss your warm hands,i don't like mirrors,NEW,20,1,2024-01-06
21,Nothing's New,Rio Romeo,RE-ENTRY,21,5,2024-01-06
22,Boss Ass Bitch (Remix),Nicki Minaj & PTAF,34,22,2,2024-01-06
23,Hoist the Colours (Bass Singers Version),Bobby Bass,15,15,2,2024-01-06
24,That's My Best Friend,Tokyo Vanity,28,24,3,2024-01-06
25,Agora Hills,Doja Cat,19,8,12,2024-01-06
26,Runaway,Kanye West Featuring Pusha T,21,3,7,2024-01-06
27,Sleigh Ride (PhatCap! Trap Remix),The Ronettes,10,3,6,2024-01-06
28,Ain't Gonna Answer,NLE Choppa Featuring Lil Wayne,22,22,3,2024-01-06
29,Greedy (Sped Up),Tate McRae,25,4,14,2024-01-06
30,Pink Friday Girls,Nicki Minaj,43,30,2,2024-01-06
31,Confidence (Sped Up),Ocean Alley,37,31,2,2024-01-06
32,Murder On The Dancefloor,Sophie Ellis-Bextor,RE-ENTRY,32,2,2024-01-06
33,Dangerously In Love,Beyonce,NEW,33,1,2024-01-06
34,Ick (Alt Ending),Lay Bankz,38,8,8,2024-01-06
35,Back Up,DeJ Loaf Featuring Big Sean,23,21,3,2024-01-06
36,Monaco,Bad Bunny,29,5,11,2024-01-06
37,Gods creation,Daniel.mp3,NEW,37,1,2024-01-06
38,I'm That Girl,Beyonce,NEW,38,1,2024-01-06
39,Tumblr Girls,G-Eazy Featuring Christoph Andersson,41,24,11,2024-01-06
40,What Love Is,Zimmer90,NEW,40,1,2024-01-06
41,Where Is Smiley?,Serani Poji,NEW,41,1,2024-01-06
42,Bed Peace,Jhene Aiko Featuring Childish Gambino,27,27,3,2024-01-06
43,Time,wayudance,NEW,43,1,2024-01-06
44,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,RE-ENTRY,44,2,2024-01-06
45,Luces Tenues,Anuel AA,NEW,45,1,2024-01-06
46,Deli,Ice Spice,45,4,14,2024-01-06
47,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",50,47,2,2024-01-06
48,Lollipop,"Darell, Ozuna & Maluma",12,3,9,2024-01-06
49,Jingle Bell Rock,Bobby Helms,18,18,4,2024-01-06
50,No Bars,JT,NEW,50,1,2024-01-06
